Player Id,Full Name,Match Name,position,Team Name,Team Id,Last Updated,Time Played,90s,Position Group,Most Played Position,Positions Played,Number of Positions Played,Aerial Duels,Aerial Duels lost,Aerial Duels lost p90,Aerial Duels p90,Aerial Duels won,Aerial Duels won p90,Appearances,Appearances p90,Assists (Intentional),Assists (Intentional) p90,Attempts from Set Pieces,Attempts from Set Pieces p90,Away Goals,Away Goals p90,Backward Passes,Backward Passes p90,Blocked Shots,Blocked Shots p90,Blocks,Blocks p90,Carries,Carries p90,Catches,Catches p90,Chances Created,Chances Created p90,Clean Sheets,Clean Sheets p90,Clearances Off the Line,Clearances Off the Line p90,Conversion Rate,Conversion Rate p90,Corners Taken (incl short corners),Corners Taken (incl short corners) p90,Corners Won,Corners Won p90,Crosses not Claimed,Crosses not Claimed p90,Direct Corner Goals,Direct Corner Goals p90,Direct Setpiece Goals,Direct Setpiece Goals p90,Dispossessed,Dispossessed p90,Dribbles success %,Dribbles success % p90,Drops,Drops p90,Duels,Duels lost,Duels lost p90,Duels p90,Duels won,Duels won %,Duels won % p90,Duels won p90,Final Third Touches,Final Third Touches p90,FinalThirdPasses,FinalThirdPasses p90,Forward Passes,Forward Passes p90,Foul Attempted Tackle,Foul Attempted Tackle p90,Foul Won Penalty,Foul Won Penalty p90,GK Successful Distribution,GK Successful Distribution p90,GK Unsuccessful Distribution,GK Unsuccessful Distribution p90,Games Played,Games Played p90,Goal Assists,Goal Assists p90,Goal Kicks,Goal Kicks p90,Goalkeeper Smother,Goalkeeper Smother p90,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Inside Box p90,Goals Conceded Outside Box,Goals Conceded Outside Box p90,Goals Conceded p90,Goals Openplay,Goals Openplay p90,Goals from Inside Box,Goals from Inside Box p90,Goals from Outside Box,Goals from Outside Box p90,Goals p90,Ground Duels,Ground Duels lost,Ground Duels lost p90,Ground Duels p90,Ground Duels won,Ground Duels won p90,Handballs conceded,Handballs conceded p90,Headed Goals,Headed Goals p90,Hit Woodwork,Hit Woodwork p90,Home Goals,Home Goals p90,Interceptions,Interceptions p90,Key Passes (Attempt Assists),Key Passes (Attempt Assists) p90,Last Player Tackle,Last Player Tackle p90,Left Foot Goals,Left Foot Goals p90,Leftside Passes,Leftside Passes p90,Minutes Per Goal,Offsides,Offsides p90,Open Play Pass Success %,Open Play Pass Success % p90,Open Play Passes,Open Play Passes p90,Other Goals,Other Goals p90,Overruns,Overruns p90,Own Goal Scored,Own Goal Scored p90,Penalties Conceded,Penalties Conceded p90,Penalties Faced,Penalties Faced p90,Penalties Off Target,Penalties Off Target p90,Penalties Saved,Penalties Saved p90,Penalties Taken,Penalties Taken p90,Penalty Goals,Penalty Goals Conceded,Penalty Goals Conceded p90,Penalty Goals p90,Progressive Carries,Progressive Carries p90,ProgressivePasses,ProgressivePasses p90,Punches,Punches p90,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution Won p90,PutThrough/Blocked Distribution p90,Recoveries,Recoveries p90,Red Cards - 2nd Yellow,Red Cards - 2nd Yellow p90,Right Foot Goals,Right Foot Goals p90,Rightside Passes,Rightside Passes p90,Saves Made,Saves Made from Inside Box,Saves Made from Inside Box p90,Saves Made from Outside Box,Saves Made from Outside Box p90,Saves Made p90,Saves from Penalty,Saves from Penalty p90,Saves made - caught,Saves made - caught p90,Saves made - parried,Saves made - parried p90,Second Goal Assists,Second Goal Assists p90,Set Pieces Goals,Set Pieces Goals p90,Shots Off Target (inc woodwork),Shots Off Target (inc woodwork) p90,Shots On Target ( inc goals ),Shots On Target ( inc goals ) p90,Shots Per Goal,Shots Per Goal p90,Starts,Starts p90,Straight Red Cards,Straight Red Cards p90,Substitute Off,Substitute Off p90,Substitute On,Substitute On p90,Successful Corners into Box,Successful Corners into Box p90,Successful Crosses & Corners,Successful Crosses & Corners p90,Successful Crosses open play,Successful Crosses open play p90,Successful Dribbles,Successful Dribbles p90,Successful Launches,Successful Launches p90,Successful Lay-offs,Successful Lay-offs p90,Successful Long Passes,Successful Long Passes p90,Successful Open Play Passes,Successful Open Play Passes p90,Successful Passes Opposition Half,Successful Passes Opposition Half p90,Successful Passes Own Half,Successful Passes Own Half p90,Successful Short Passes,Successful Short Passes p90,Tackles Lost,Tackles Lost p90,Tackles Won,Tackles Won p90,Through balls,Through balls p90,Throw Ins to Opposition Player,Throw Ins to Opposition Player p90,Throw Ins to Own Player,Throw Ins to Own Player p90,Times Tackled,Times Tackled p90,Total Big Chances Created,Total Big Chances Created p90,Total Big Chances Missed,Total Big Chances Missed p90,Total Big Chances Saved,Total Big Chances Saved p90,Total Big Chances Scored,Total Big Chances Scored p90,Total Clearances,Total Clearances p90,Total Fouls Conceded,Total Fouls Conceded p90,Total Fouls Won,Total Fouls Won p90,Total Losses Of Possession,Total Losses Of Possession p90,Total Passes,Total Passes p90,Total Red Cards,Total Red Cards p90,Total Shots,Total Shots p90,Total Successful Passes ( Excl Crosses & Corners ) ,Total Successful Passes ( Excl Crosses & Corners )  p90,Total Tackles,Total Tackles p90,Total Touches In Opposition Box,Total Touches In Opposition Box p90,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Unsuccessful Passes ( Excl Crosses & Corners ) p90,Touches,Touches p90,Unsuccessful Corners into Box,Unsuccessful Corners into Box p90,Unsuccessful Crosses & Corners,Unsuccessful Crosses & Corners p90,Unsuccessful Crosses open play,Unsuccessful Crosses open play p90,Unsuccessful Dribbles,Unsuccessful Dribbles p90,Unsuccessful Launches,Unsuccessful Launches p90,Unsuccessful Long Passes,Unsuccessful Long Passes p90,Unsuccessful Passes Opposition Half,Unsuccessful Passes Opposition Half p90,Unsuccessful Passes Own Half,Unsuccessful Passes Own Half p90,Unsuccessful Short Passes,Unsuccessful Short Passes p90,Unsuccessful lay-offs,Unsuccessful lay-offs p90,Winning Goal,Winning Goal p90,Yellow Cards,Yellow Cards p90,index,shirt_number
bla737odu07zap4li26qfm7f8,Dauda Amihere Iddrisa,D. Iddrisa,Defender,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,428,4.76,Full Backs,rb,rb,1,6,2,0.42,1.26,4,0.84,7,1.47,0,0,0,0,0,0,15,3.15,0,0,3,0.63,48,10.08,0,0,4,0.84,2,0.42,0,0,50,50,0,0,5,1.05,0,0,0,0,0,0,7,1.47,40,40,0,0,56,28,5.88,11.76,28,50,50,5.88,71,14.92,13,2.73,75,15.76,3,0.63,0,0,0,0,0,0,7,1.47,0,0,0,0,0,0,1,4,3,0.63,1,0.21,0.84,1,0.21,1,0.21,0,0,0.21,50,26,5.46,10.5,24,5.04,0,0,0,0,0,0,1,0.21,6,1.26,4,0.84,0,0,0,0,62,13.03,428,1,0.21,79,79,159,33.4,0,0,3,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6.3,16,3.36,0,0,9,6,1.26,1.89,24,5.04,0,0,1,0.21,9,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21,1,0.21,2,2,5,1.05,0,0,3,0.63,2,0.42,0,0,2,0.42,2,0.42,4,0.84,0,0,0,0,6,1.26,125,26.26,61,12.82,68,14.29,121,25.42,4,0.84,10,2.1,0,0,14,2.94,31,6.51,13,2.73,0,0,1,0.21,1,0.21,1,0.21,14,2.94,9,1.89,6,1.26,86,18.07,161,33.82,0,0,2,0.42,127,26.68,14,2.94,7,1.47,34,7.14,312,65.55,0,0,8,1.68,8,1.68,6,1.26,5,1.05,12,2.52,31,6.51,11,2.31,22,4.62,0,0,1,0.21,0,0,1,2
c6vfjpybbdcyvis2zljs7mgwk,Antonio Arena,A. Arena,Forward,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,374,4.16,Strikers,st,st,1,21,15,3.61,5.05,6,1.44,7,1.68,1,0.24,0,0,0,0,14,3.37,0,0,1,0.24,27,6.49,0,0,8,1.92,1,0.24,0,0,40,40,0,0,3,0.72,0,0,0,0,0,0,5,1.2,40,40,0,0,45,28,6.73,10.82,17,38,38,4.09,66,15.87,4,0.96,21,5.05,1,0.24,0,0,0,0,0,0,7,1.68,1,0.24,0,0,0,0,2,2,1,0.24,1,0.24,0.48,1,0.24,2,0.48,0,0,0.48,24,13,3.12,5.77,11,2.64,0,0,1,0.24,0,0,2,0.48,2,0.48,7,1.68,0,0,0,0,26,6.25,187,0,0,63,63,92,22.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.85,8,1.92,0,0,4,2,0.48,0.96,26,6.25,0,0,1,0.24,31,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24,4,0.96,2,2,4,0.96,0,0,2,0.48,3,0.72,0,0,1,0.24,1,0.24,2,0.48,0,0,4,0.96,0,0,58,13.94,44,10.58,15,3.61,58,13.94,0,0,3,0.72,0,0,0,0,0,0,8,1.92,4,0.96,1,0.24,0,0,1,0.24,3,0.72,3,0.72,7,1.68,53,12.74,92,22.12,0,0,5,1.2,58,13.94,3,0.72,22,5.29,34,8.17,142,34.13,0,0,1,0.24,1,0.24,3,0.72,1,0.24,3,0.72,30,7.21,5,1.2,31,7.45,1,0.24,2,0.48,1,0.24,2,19
9uohg5pa1o4ggjyftzca7rcb8,Alessio Baralla,A. Baralla,Midfielder,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,130,1.44,Midfielders,dm,dm,1,1,0,0,0.69,1,0.69,5,3.47,0,0,1,0.69,0,0,11,7.64,0,0,0,0,14,9.72,0,0,2,1.39,0,0,0,0,0,0,4,2.78,0,0,0,0,0,0,0,0,2,1.39,50,50,0,0,10,5,3.47,6.94,5,50,50,3.47,30,20.83,9,6.25,20,13.89,1,0.69,0,0,0,0,0,0,5,3.47,0,0,0,0,0,0,0,1,0,0,1,0.69,0.69,0,0,0,0,0,0,0,9,5,3.47,6.25,4,2.78,0,0,0,0,1,0.69,0,0,2,1.39,2,1.39,0,0,0,0,30,20.83,0,0,0,86,86,76,52.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.78,4,2.78,0,0,2,0,0,1.39,6,4.17,0,0,0,0,17,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.08,0,0,0,0,1,0.69,0,0,1,0.69,4,2.78,2,1.39,2,1.39,0,0,1,0.69,1,0.69,1,0.69,8,5.56,65,45.14,44,30.56,25,17.36,59,40.97,2,1.39,1,0.69,0,0,0,0,0,0,3,2.08,0,0,0,0,0,0,0,0,2,1.39,1,0.69,0,0,19,13.19,78,54.17,0,0,3,2.08,67,46.53,3,2.08,0,0,11,7.64,99,68.75,2,1.39,4,2.78,1,0.69,1,0.69,3,2.08,6,4.17,13,9.03,2,1.39,5,3.47,0,0,0,0,0,0,3,8
866hkeaw7opgpac4fkcxgazh0,Benit Borasio,B. Borasio,Midfielder,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,291,3.23,Center Backs,cb,cb,1,18,6,1.86,5.57,12,3.72,6,1.86,1,0.31,0,0,0,0,9,2.79,0,0,0,0,52,16.1,0,0,1,0.31,3,0.93,0,0,0,0,0,0,1,0.31,0,0,0,0,0,0,0,0,0,0,0,0,35,14,4.33,10.84,21,60,60,6.5,10,3.1,11,3.41,69,21.36,4,1.24,1,0.31,0,0,0,0,6,1.86,1,0.31,0,0,0,0,0,1,0,0,1,0.31,0.31,0,0,0,0,0,0,0,17,8,2.48,5.26,9,2.79,0,0,0,0,0,0,0,0,2,0.62,0,0,0,0,0,0,64,19.81,0,0,0,84,84,188,58.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9.91,7,2.17,0,0,4,2,0.62,1.24,9,2.79,0,0,0,0,50,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.31,0,0,0,0,3,0.93,1,0.31,0,0,3,0.93,0,0,0,0,0,0,0,0,3,0.93,0,0,14,4.33,158,48.92,56,17.34,106,32.82,148,45.82,0,0,4,1.24,1,0.31,4,1.24,0,0,0,0,1,0.31,0,0,0,0,0,0,18,5.57,9,2.79,5,1.55,39,12.07,192,59.44,1,0.31,1,0.31,162,50.15,4,1.24,2,0.62,30,9.29,238,73.68,0,0,0,0,0,0,0,0,11,3.41,13,4.02,12,3.72,18,5.57,17,5.26,0,0,0,0,0,0,4,16
cx8uq8ljn6a3xausmwdqe6bkk,Leonardo Noah Bovio,L. Bovio,Defender,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,182,2.02,Center Backs,cb,cb,1,12,4,1.98,5.94,8,3.96,4,1.98,0,0,0,0,0,0,5,2.48,1,0.5,0,0,9,4.46,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,3.47,8.42,10,59,59,4.95,9,4.46,18,8.91,64,31.68,0,0,0,0,0,0,0,0,4,1.98,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,0,0,0,0,0,0,0,5,3,1.49,2.48,2,0.99,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,52,25.74,0,0,0,90,90,139,68.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.49,7,3.47,0,0,0,0,0,0,9,4.46,0,0,0,0,20,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,2,0.99,0,0,0,0,2,0.99,0,0,0,0,0,0,0,0,0,0,0,0,11,5.45,125,61.88,49,24.26,78,38.61,116,57.43,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,4,1.98,2,0.99,1,0.5,17,8.42,141,69.8,0,0,1,0.5,127,62.87,1,0.5,4,1.98,14,6.93,154,76.24,0,0,1,0.5,1,0.5,0,0,3,1.49,7,3.47,12,5.94,3,1.49,7,3.47,0,0,0,0,0,0,5,5
7ut56715j129guhzl0snsyo0k,Thomas Campaniello,T. Campaniello,Forward,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,375,4.17,Strikers,st,st,1,28,10,2.4,6.71,18,4.32,6,1.44,0,0,0,0,0,0,13,3.12,5,1.2,0,0,14,3.36,0,0,5,1.2,1,0.24,0,0,20,20,0,0,5,1.2,0,0,0,0,0,0,5,1.2,67,67,0,0,53,25,6,12.71,28,53,53,6.71,98,23.5,1,0.24,25,6,2,0.48,0,0,0,0,0,0,6,1.44,0,0,0,0,0,0,3,3,2,0.48,1,0.24,0.72,2,0.48,3,0.72,0,0,0.72,25,15,3.6,6,10,2.4,0,0,1,0.24,0,0,3,0.72,0,0,5,1.2,0,0,1,0.24,26,6.24,125,6,1.44,52,52,73,17.51,0,0,2,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.16,4,0.96,0,0,7,3,0.72,1.68,8,1.92,0,0,1,0.24,12,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.68,8,1.92,5,5,4,0.96,0,0,2,0.48,2,0.48,0,0,0,0,0,0,2,0.48,0,0,6,1.44,0,0,38,9.11,32,7.67,9,2.16,41,9.83,1,0.24,1,0.24,0,0,0,0,0,0,6,1.44,1,0.24,1,0.24,0,0,2,0.48,2,0.48,8,1.92,6,1.44,66,15.83,76,18.23,0,0,15,3.6,41,9.83,2,0.48,37,8.87,35,8.39,151,36.21,0,0,5,1.2,5,1.2,1,0.24,0,0,1,0.24,37,8.87,3,0.72,34,8.15,1,0.24,1,0.24,2,0.48,6,9
6hrvw3cddp5c6jgle4vc3wob8,Cristiano De Paoli,C. De Paoli,Defender,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,540,6,Center Backs,cb,cb,1,41,21,3.5,6.83,20,3.33,6,1,0,0,0,0,0,0,21,3.5,1,0.17,2,0.33,72,12,0,0,1,0.17,4,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0,54,26,4.33,9,28,52,52,4.67,12,2,22,3.67,132,22,2,0.33,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,4,2,0.33,2,0.33,0.67,0,0,0,0,0,0,0,13,5,0.83,2.17,8,1.33,0,0,0,0,0,0,0,0,10,1.67,1,0.17,0,0,0,0,106,17.67,0,0,0,85,85,330,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,7.83,15,2.5,0,0,1,1,0.17,0.17,21,3.5,0,0,0,0,85,14.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0.17,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.33,0,0,15,2.5,281,46.83,113,18.83,181,30.17,279,46.5,3,0.5,3,0.5,1,0.17,0,0,1,0.17,2,0.33,0,0,0,0,0,0,0,0,21,3.5,2,0.33,2,0.33,60,10,344,57.33,0,0,2,0.33,294,49,6,1,8,1.33,50,8.33,410,68.33,0,0,0,0,0,0,1,0.17,8,1.33,20,3.33,36,6,14,2.33,30,5,0,0,0,0,1,0.17,8,15
dh8gjld2ssinpvrlk0s5b6vx0,Destiny Onoguekhan Elimoghale,D. Elimoghale,Forward,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,308,3.42,Strikers,st,st,1,6,5,1.46,1.75,1,0.29,8,2.34,0,0,0,0,1,0.29,25,7.31,1,0.29,1,0.29,35,10.23,0,0,7,2.05,0,0,0,0,20,20,0,0,2,0.58,0,0,0,0,0,0,4,1.17,40,40,0,0,42,29,8.48,12.28,13,31,31,3.8,96,28.07,4,1.17,28,8.19,1,0.29,0,0,0,0,0,0,8,2.34,0,0,0,0,0,0,1,1,1,0.29,0,0,0.29,1,0.29,1,0.29,0,0,0.29,36,24,7.02,10.53,12,3.51,0,0,0,0,0,0,0,0,0,0,7,2.05,0,0,1,0.29,11,3.22,308,2,0.58,75,75,89,26.02,0,0,3,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5.85,9,2.63,0,0,3,1,0.29,0.88,19,5.56,0,0,0,0,26,7.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29,0,0,3,0.88,2,0.58,5,5,3,0.88,0,0,3,0.88,5,1.46,0,0,1,0.29,1,0.29,6,1.75,0,0,6,1.75,1,0.29,67,19.59,57,16.67,12,3.51,67,19.59,0,0,3,0.88,1,0.29,0,0,1,0.29,13,3.8,1,0.29,1,0.29,0,0,1,0.29,2,0.58,10,2.92,3,0.88,58,16.96,90,26.32,0,0,5,1.46,68,19.88,3,0.88,10,2.92,22,6.43,157,45.91,0,0,3,0.88,3,0.88,9,2.63,1,0.29,1,0.29,24,7.02,1,0.29,21,6.14,3,0.88,0,0,0,0,9,11
cjznkoq68kxguutsoysecwbh0,Samuele Inácio Piá,S. Inácio,Midfielder,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,622,6.91,Midfielders,am,am,1,5,1,0.14,0.72,4,0.58,7,1.01,1,0.14,2,0.29,2,0.29,67,9.7,6,0.87,0,0,134,19.39,0,0,13,1.88,3,0.43,0,0,15,15,7,1.01,7,1.01,0,0,0,0,0,0,10,1.45,56,56,0,0,72,28,4.05,10.42,44,61,61,6.37,214,30.97,18,2.6,63,9.12,0,0,0,0,0,0,0,0,7,1.01,2,0.29,0,0,0,0,4,5,3,0.43,2,0.29,0.72,4,0.58,4,0.58,0,0,0.58,67,27,3.91,9.7,40,5.79,0,0,0,0,0,0,2,0.29,0,0,11,1.59,0,0,0,0,26,3.76,156,1,0.14,82,82,211,30.54,0,0,2,0.29,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,84,12.16,24,3.47,0,0,12,6,0.87,1.74,23,3.33,0,0,4,0.58,61,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.3,17,2.46,6,6,7,1.01,1,0.14,2,0.29,0,0,1,0.14,4,0.58,3,0.43,15,2.17,0,0,6,0.87,5,0.72,172,24.89,138,19.97,43,6.22,172,24.89,2,0.29,7,1.01,1,0.14,2,0.29,5,0.72,22,3.18,3,0.43,3,0.43,0,0,3,0.43,1,0.14,2,0.29,16,2.32,99,14.33,217,31.4,1,0.14,26,3.76,177,25.62,9,1.3,41,5.93,40,5.79,381,55.14,5,0.72,16,2.32,10,1.45,12,1.74,2,0.29,7,1.01,53,7.67,3,0.43,33,4.78,1,0.14,1,0.14,0,0,10,10
8hi2x1e9phvls5orswok0rc44,Alessandro Longoni,A. Longoni,Goalkeeper,Italy Under 17,5wqp6j0531waihdxydpmoo3aj,2025-11-27T14:36:06Z,720,8,Goalkeepers,gk,gk,1,3,0,0,0.38,3,0.38,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2.5,2,0.25,0,0,5,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0.12,4,0,0,0.5,4,100,100,0.5,0,0,2,0.25,82,10.25,0,0,0,0,66,8.25,2,0.25,8,1,0,0,39,4.88,1,0.12,0,5,3,0.38,2,0.25,0.62,0,0,0,0,0,0,0,1,0,0,0.12,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7.12,0,0,0,90,90,134,16.75,0,0,0,0,0,0,0,0,1,0.12,0,0,1,0.12,0,0,0,0,0,0,8,1,10,1.25,2,0.25,0,0,0,0,64,8,0,0,0,0,51,6.38,14,5,0.62,9,1.12,1.75,1,0.12,0,0,3,0.38,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,5,0.62,0,0,17,2.12,120,15,8,1,157,19.62,148,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,0,0,5,0.62,0,0,1,0.12,26,3.25,190,23.75,0,0,0,0,165,20.62,0,0,0,0,25,3.12,244,30.5,0,0,0,0,0,0,0,0,13,1.62,24,3,16,2,9,1.12,1,0.12,0,0,0,0,1,0.12,11,12
